,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Year,Month,Day,Hurricane Name,Hurricane Year,Hurricane Month,Total Deaths,US Impact? 1=yes
87,AL121985,JUAN,19851029,1100.0,L,HU,29.5N,91.4W,65.0,974.0,,,,,,,,,,,,,1985,10,29,JUAN,1985,10,10,1
88,AL131985,KATE,19851121,2230.0,L,HU,30.0N,85.4W,85.0,967.0,,,,,,,,,,,,,1985,11,21,KATE,1985,11,5,1
89,AL021986,BONNIE,19860626,1000.0,L,HU,29.6N,94.2W,75.0,990.0,,,,,,,,,,,,,1986,6,26,BONNIE,1986,6,4,1
90,AL051986,CHARLEY,19860817,1400.0,L,HU,34.7N,76.5W,65.0,990.0,,,,,,,,,,,,,1986,8,17,CHARLEY,1986,8,1,1
91,AL091986,EARL,19860911,1800.0,,HU,25.0N,53.4W,70.0,999.0,,,,,,,,,,,,,1986,9,11,EARL,1986,9,0,0
92,AL101986,FRANCES,19861120,600.0,,HU,27.0N,61.0W,65.0,1001.0,,,,,,,,,,,,,1986,11,20,FRANCES,1986,11,0,0
93,AL021987,ARLENE,19870822,600.0,,HU,36.5N,43.0W,65.0,988.0,,,,,,,,,,,,,1987,8,22,ARLENE,1987,8,0,0
94,AL121987,EMILY,19870923,300.0,L,HU,18.3N,71.0W,95.0,965.0,,,,,,,,,,,,,1987,9,23,EMILY,1987,9,0,0
95,AL131987,FLOYD,19871012,2100.0,L,HU,25.1N,80.5W,65.0,993.0,,,,,,,,,,,,,1987,10,12,FLOYD,1987,10,0,1
96,AL041988,DEBBY,19880903,0.0,L,HU,20.7N,97.3W,65.0,987.0,,,,,,,,,,,,,1988,9,3,DEBBY,1988,9,0,0
97,AL071988,FLORENCE,19880910,200.0,L,HU,29.1N,89.3W,70.0,984.0,,,,,,,,,,,,,1988,9,10,FLORENCE,1988,9,1,1
98,AL081988,GILBERT,19880912,1700.0,L,HU,17.8N,76.8W,115.0,960.0,,,,,,,,,,,,,1988,9,12,GILBERT,1988,9,1,1
